"Name","Policy URL","Hostname"
"glomex GmbH","https://www.glomex.com/en/privacy-policy/privacy-notice-for-the-glomex-player/","www.glomex.com"
"Goldbach Group AG","https://goldbach.com/ch/en/privacy-policy/goldbach-group","goldbach.com"
"Google Advertising Products","https://business.safety.google/privacy/","business.safety.google"
"GroupM UK Limited","https://www.groupm.com/privacy-notice","www.groupm.com"
"GumGum, Inc.","https://www.gumgum.com/terms-and-policies/privacy-policy","www.gumgum.com"
"Happydemics","https://happydemics.com/en/terms_and_conditions","happydemics.com"
"Hivestack Inc.","https://hivestack.com/privacy-policy","hivestack.com"
"Hurra Communications GmbH","https://privacy.hurra.com/tcf/","privacy.hurra.com"
"Hybrid Adtech GmbH","https://hybrid.ai/data_protection_policy","hybrid.ai"
"ID5 Technology Ltd","https://id5.io/platform-privacy-policy/","id5.io"
"Improve Digital","https://www.improvedigital.com/platform-privacy-policy","www.improvedigital.com"
"Index Exchange Inc. ","https://www.indexexchange.com/privacy","www.indexexchange.com"
"INFOnline GmbH","https://www.infonline.de/en/datenschutzerklaerung/","www.infonline.de"
"Ingenious Technologies AG","https://www.ingenioustechnologies.com/privacy-policy","www.ingenioustechnologies.com"
"Inskin Media LTD","https://www.azerion.com/wp-content/uploads/2024/06/Website-Privacy-Notice-v3-Inskin-Media.pdf","www.azerion.com"
"IPONWEB GmbH","https://www.iponweb.com/policies-legal/iponweb-privacy-policy/","www.iponweb.com"
"iProspect GmbH","https://inetpro.io/privacy-policyeng.do","inetpro.io"
"Jaduda GmbH","https://www.splicky.com/en/web/privacy-delivery","www.splicky.com"
"Justpremium BV","https://gumgum.com/terms-and-policies/justpremium-privacy-policy","gumgum.com"
"Kairion GmbH","https://kairion.de/datenschutzbestimmungen/","kairion.de"
"Kameleoon SAS","https://developers.kameleoon.com/local-storage.html#list-of-collected-data","developers.kameleoon.com"
"Kayzen","https://kayzen.io/data-privacy-policy","kayzen.io"
"KUPONA GmbH","https://www.kupona.de/dsgvo/#datenschutzerklaerung","www.kupona.de"
"LinkedIn Ireland Unlimited Company","https://www.linkedin.com/legal/privacy-policy","www.linkedin.com"
"LiquidM Technology GmbH","https://liquidm.com/privacy-policy/","liquidm.com"
"LiveRamp","https://liveramp.uk/privacy/service-privacy-policy/","liveramp.uk"
"LoopMe Limited","https://legal.loopme.com/privacy-center#contract-hyartvn1o","legal.loopme.com"
"Lotame Solutions, Inc","https://www.lotame.com/privacy/privacy-notices/services/","www.lotame.com"
"M.D. Primis Technologies Ltd.","https://www.primis.tech/privacy-policy/","www.primis.tech"
"Magnite CTV, Inc.","https://www.magnite.com/legal/advertising-technology-privacy-policy/","www.magnite.com"
"Magnite, Inc. ","https://www.magnite.com/legal/advertising-technology-privacy-policy/","www.magnite.com"
"Media.net Advertising FZ-LLC","https://www.media.net/privacy-policy/","www.media.net"
"MindTake Research GmbH","https://www.mindtake.com/en/reppublika-privacy-policy","www.mindtake.com"
"Neustar, Inc., a TransUnion company","https://www.home.neustar/privacy","www.home.neustar"
"NextRoll, Inc.","https://www.nextroll.com/privacy","www.nextroll.com"
"Nexx360","https://nexx360.io/en/privacy-policy-and-cookies/","nexx360.io"
"Nexxen Inc.","https://www.amobee.com/trust/gdpr/","www.amobee.com"
"Nielsen International SA","https://www.nielsen.com/legal/privacy-principles/digital-measurement-privacy-statement/","www.nielsen.com"
"Nielsen Media Research Ltd.","https://www.nielsen.com/us/en/legal/privacy-statement/nielsen-marketing-cloud-privacy-notice/","www.nielsen.com"
"Offerista Group GmbH","https://s3-eu-west-1.amazonaws.com/public-legal-docs.offerista/offerista/de/privacy.html","s3-eu-west-1.amazonaws.com"
"Ogury Ltd","https://ogury.com/ogury-advertising-privacy-policy/","ogury.com"
"OnAudience Ltd","https://www.onaudience.com/internet-advertising-privacy-policy","www.onaudience.com"
"OneTag Limited","https://www.onetag.com/privacy/","www.onetag.com"
"Onfocus (Adagio)","https://adagio.io/privacy","adagio.io"
"Online Solution","https://adsafety.net/privacy.html","adsafety.net"
"OpenX","https://www.openx.com/legal/privacy-policy/","www.openx.com"
"Oracle Advertising","https://www.oracle.com/legal/privacy/advertising-privacy-policy.html","www.oracle.com"
"OS Data Solutions GmbH & Co. KG","https://osdatasolutions.de/datenschutz/","osdatasolutions.de"
"Otto (GmbH & Co KG)","https://www.otto.de/shoppages/service/datenschutz","www.otto.de"
"Outbrain UK Ltd","https://www.outbrain.com/privacy","www.outbrain.com"
"Permutive Limited","https://permutive.com/privacy/","permutive.com"
"Platform161 B.V.","https://verve.com/dsp-cookies-privacy/","verve.com"
"Publicis Media GmbH","https://www.publicismedia.de/datenschutz/","www.publicismedia.de"
"PubMatic, Inc","https://pubmatic.com/legal/privacy/","pubmatic.com"
"Pure Local Media GmbH","https://purelocalmedia.de/?page_id=593","purelocalmedia.de"
"Quality Media Network GmbH","https://www.qualitymedianetwork.de/datenschutz/","www.qualitymedianetwork.de"
"Quantcast","https://www.quantcast.com/privacy","www.quantcast.com"
"R2B2 a.s.","https://r2b2.io/privacy-policy","r2b2.io"
"Readpeak Oy","https://www.readpeak.com/terms/readpeak-privacy-policy","www.readpeak.com"
"retailAds GmbH & Co. KG","https://www.retailads.net/de-de/ueberuns/datenschutz/","www.retailads.net"
"Ringier Axel Springer Polska sp. z o.o.","https://privacy-policy.ringieraxelspringer.pl","privacy-policy.ringieraxelspringer.pl"
"Roq.ad GmbH","https://www.roq.ad/privacy-policy-roqad/","www.roq.ad"
"RTB House S.A.","https://www.rtbhouse.com/privacy-center","www.rtbhouse.com"
"Samsung Ads","https://policy.samsungrs.com/consent/eu/nsc/privacy_policy_en.html","policy.samsungrs.com"
"Seeding Alliance GmbH","https://seeding-alliance.de/datenschutz/","seeding-alliance.de"
"Seedtag Advertising S.L","https://www.seedtag.com/en/privacy-policy/","www.seedtag.com"
"Semasio GmbH","https://www.semasio.com/legal/semasio-privacy-policy","www.semasio.com"
"Sharethrough, Inc","https://www.sharethrough.com/privacy-center/consumer-privacy-notice","www.sharethrough.com"
"Smaato, Inc.","https://www.smaato.com/privacy/","www.smaato.com"
"SMADEX, S.L.U.","https://smadex.com/privacy-policy/","smadex.com"
"SoD ScreenOnDemand GmbH","https://screenondemand.de/datenschutzerklaerung/","screenondemand.de"
